Ref,Val,Package,PosX,PosY,Rot,Side
"SW35","RotaryEncoder","RotaryEncoder_Alps_EC11E_Vertical_H20mm",212.811106,-111.153553,180.000000,bottom
"SW50","RotaryEncoder","RotaryEncoder_Alps_EC11E_Vertical_H20mm",187.750000,-111.165106,180.000000,bottom
"D35","D","D_SOD-123",73.400000,-91.853553,-90.000000,top
"D36","D","D_SOD-123",92.500000,-87.053553,-90.000000,top
"D37","D","D_SOD-123",111.500000,-83.053553,-90.000000,top
"D38","D","D_SOD-123",130.600000,-84.253553,-90.000000,top
"D39","D","D_SOD-123",149.600000,-89.153553,-90.000000,top
"D40","D","D_SOD-123",168.700000,-89.253553,-90.000000,top
"D41","D","D_SOD-123",236.577106,-88.467106,-90.000000,top
"D42","D","D_SOD-123",73.400000,-109.353553,-90.000000,top
"D43","D","D_SOD-123",92.500000,-105.953553,-90.000000,top
"D44","D","D_SOD-123",111.500000,-103.053553,-90.000000,top
"D45","D","D_SOD-123",130.600000,-103.103552,-90.000000,top
"D46","D","D_SOD-123",149.700000,-107.453553,-90.000000,top
"D47","D","D_SOD-123",168.800000,-108.553553,-90.000000,top
"D48","D","D_SOD-123",236.577106,-106.649607,-90.000000,top
"D49","D","D_SOD-123",73.400000,-128.353553,-90.000000,top
"D50","D","D_SOD-123",92.500000,-126.253553,-90.000000,top
"D51","D","D_SOD-123",111.600000,-122.953553,-90.000000,top
"D52","D","D_SOD-123",130.600000,-121.853553,-90.000000,top
"D53","D","D_SOD-123",149.700000,-125.453553,-90.000000,top
"D54","D","D_SOD-123",168.800000,-127.053553,-90.000000,top
"D55","D","D_SOD-123",236.587106,-126.817107,-90.000000,top
"D56","D","D_SOD-123",78.300000,-147.153553,-90.000000,top
"D57","D","D_SOD-123",97.400000,-145.153553,-90.000000,top
"D58","D","D_SOD-123",116.500000,-143.403554,-90.000000,top
"D59","D","D_SOD-123",135.500000,-145.403554,-90.000000,top
"D60","D","D_SOD-123",161.300000,-154.953553,-110.000000,top
"D61","D","D_SOD-123",185.200000,-151.853553,-45.000000,top
"D62","D","D_SOD-123",200.661196,-152.023017,-135.000000,top
"D63","D","D_SOD-123",255.667106,-85.129607,-90.000000,top
"D64","D","D_SOD-123",255.657106,-105.129607,-90.000000,top
"D65","D","D_SOD-123",255.647106,-122.457105,-90.000000,top
"D66","D","D_SOD-123",247.064801,-145.928250,-70.000000,top
"D67","D","D_SOD-123",274.687106,-82.667106,-90.000000,top
"D68","D","D_SOD-123",274.737106,-101.899607,-90.000000,top
"D69","D","D_SOD-123",274.727106,-120.219607,-90.000000,top
"D70","D","D_SOD-123",269.877106,-142.459607,-90.000000,top
"D71","D","D_SOD-123",293.807106,-85.979607,-90.000000,top
"D72","D","D_SOD-123",293.797106,-105.709607,-90.000000,top
"D73","D","D_SOD-123",293.807106,-121.537106,-90.000000,top
"D74","D","D_SOD-123",288.937106,-142.549607,-90.000000,top
"D75","D","D_SOD-123",312.817106,-88.967106,-90.000000,top
"D76","D","D_SOD-123",312.817106,-106.299607,-90.000000,top
"D77","D","D_SOD-123",312.827106,-124.467106,-90.000000,top
"D78","D","D_SOD-123",307.957106,-145.999607,-90.000000,top
"D80","D","D_SOD-123",312.857106,-97.817105,-90.000000,top
"D81","D","D_SOD-123",312.847106,-117.297106,-90.000000,top
"D82","D","D_SOD-123",312.897106,-136.887106,-90.000000,top
"D83","D","D_SOD-123",307.977106,-140.907106,-90.000000,top
"H2","MountingHole","MountingHole_3mm",163.850000,-143.183553,0.000000,top
"H3","MountingHole","MountingHole_3mm",186.200000,-127.353553,0.000000,top
"H5","MountingHole","MountingHole_3mm",222.427106,-143.097106,0.000000,top
"H6","MountingHole","MountingHole_3mm",200.047106,-127.127106,0.000000,top
"H9","MountingHole","MouseBite-Slot_2.0x2.0mm_outset_D0.5mm_P0.85mm_3h",192.149999,-93.949999,-90.000000,top
"H10","MountingHole","MouseBite-Slot_2.0x2.0mm_outset_D0.5mm_P0.85mm_3h",192.150002,-139.549998,-90.000000,top
"SW1","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",63.893750,-92.203553,0.000000,top
"SW2","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",82.943750,-89.822303,0.000000,top
"SW3","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",101.993750,-87.441053,0.000000,top
"SW4","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",121.064081,-85.059803,0.000000,top
"SW5","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",140.134629,-89.822303,0.000000,top
"SW6","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",159.215369,-92.203553,0.000000,top
"SW7","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",227.027106,-92.247106,0.000000,top
"SW8","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",63.893750,-111.253553,0.000000,top
"SW9","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",63.893750,-130.303553,0.000000,top
"SW10","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",68.803118,-149.353553,0.000000,top
"SW11","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",227.027106,-111.277106,0.000000,top
"SW12","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",82.943750,-108.872303,0.000000,top
"SW13","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",101.993750,-106.491053,0.000000,top
"SW14","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",121.064081,-104.109803,0.000000,top
"SW15","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",140.134629,-108.872303,0.000000,top
"SW16","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",159.215369,-111.253553,0.000000,top
"SW17","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",227.027106,-130.327106,0.000000,top
"SW18","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",82.943750,-127.922303,0.000000,top
"SW19","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",87.853118,-146.972303,0.000000,top
"SW20","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",101.993750,-125.592487,0.000000,top
"SW21","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",106.903118,-144.642487,0.000000,top
"SW22","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",121.064081,-123.211237,0.000000,top
"SW23","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",125.980904,-147.079220,0.000000,top
"SW24","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",140.134629,-127.973737,0.000000,top
"SW25","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1.25u",149.950441,-151.734803,-20.000000,top
"SW26","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",159.215369,-130.354987,0.000000,top
"SW27","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1.5u",174.679087,-161.294466,45.000000,top
"SW28","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1.5u",211.608661,-161.285360,-45.000000,top
"SW29","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",246.107106,-89.837106,0.000000,top
"SW30","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",246.107106,-108.917106,0.000000,top
"SW31","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",246.107106,-127.987106,0.000000,top
"SW32","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1.25u",236.458797,-151.618217,20.000000,top
"SW33","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",265.187106,-85.027106,0.000000,top
"SW34","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",265.187106,-104.087106,0.000000,top
"SW36","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",265.187106,-123.177106,0.000000,top
"SW37","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",260.304606,-146.972106,0.000000,top
"SW38","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",284.277106,-87.407106,0.000000,top
"SW39","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",284.277106,-106.457106,0.000000,top
"SW40","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",284.277106,-125.517106,0.000000,top
"SW41","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",279.407106,-144.657106,0.000000,top
"SW42","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",303.307106,-89.797106,0.000000,top
"SW43","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",303.307106,-108.807106,0.000000,top
"SW44","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",303.307106,-127.857106,0.000000,top
"SW45","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",298.457106,-146.927106,0.000000,top
"SW46","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",321.747106,-92.197106,0.000000,top
"SW47","SW_Push_45deg","SW_choc_v1_HS_CPG135001S30_1u",321.877106,-111.197106,0.000000,top
